WORD,TYPE,PLURAL,SYNONYM,ANTONYM
أوم,اسم,,,ارتواء;روّى
أون,اسم,,,خشونة
أيبس,اسم,أيابس,,رطّب;أنعش
أيد,اسم,,,ضعف;وهن;ضعيف
أيسر,اسم,يسر,يسر,أيمن
أيطل,اسم,أياطل,,
أيكة,اسم,أيك,,
أيل,اسم,أيايل,,
أيم,اسم,أيوم,,
أيمن,اسم,أيامن,,أيسر
أين,اسم,,,راحة
أيهم,اسم,,,عاقل
إباء,اسم,,,ذل;هوان
إباءة,اسم,,,ارتحال
إباض,اسم,أبض,,
إباط,اسم,أبط,,
إبداع,اسم,,,تقليد
إبراء,اسم,,,إسقام
إبراج,اسم,,,
إبراد,اسم,,,إحماء
إبراك,اسم,,,إنهاض
إبرام,اسم,,,إلغاء;إبطال;تعليق
إبريج,اسم,أباريج,,
إبصار,اسم,,,عمى
إبط,اسم,آباط,,
إبطاء,اسم,,,سرعة;إسراع;عجلة
إبعاد,اسم,,,تقريب
إبكاء,اسم,,,إضحاك
إبل,اسم,آبال,,
إبهام,اسم,أباهيم,,
إتاوة,اسم,أتاوى,,
إثار,اسم,أثر,,
إثجام,اسم,,,انحباس
إثم,اسم,آثام,آثام,برّ;براءة;عفاف;طهر;طهارة
إجارة,اسم,,,اعتداء;عقاب
إجازة,اسم,,,منع
إجاعة,اسم,,,إشباع
إجانة,اسم,أجاجين,,
إجانة,اسم,زلف,,
إجرام,اسم,,,عفة
إجريا,اسم,أجاري,,
إجفيل,اسم,,,شجاع
إجل,اسم,آجال,,
إجلاس,اسم,,,إيقاف;إنهاض
إحريض,اسم,أحاريض,,
إحليل,اسم,أحاليل,,
إحنة,اسم,إحن,إحن,محبة
إخاء,اسم,,,عداوة
إخاذة,اسم,إخاذ,,
إخذة,اسم,إخاذ,,
إخراج,اسم,,,إدخال
إخلاف,اسم,,,وفاء
إد,اسم,إداد,,
إدام,اسم,أدم,,
إداوة,اسم,أداوى,,
إدة,اسم,إدد,,
إدخال,اسم,,,إستخراج;إخراج
إذاعة,اسم,مذاييع,,
إذن,اسم,,,منع
إراض,اسم,أرض,,
إران,اسم,أرن,,
إرب,اسم,آراب,,
إرث,اسم,إراث,,
إرجاف,اسم,أراجيف,,
إرزبة,اسم,أرازب,,
إرم,اسم,آرام,,
إرواء,اسم,,,عطش
إريس,اسم,أراريس,,
إزار,اسم,أزر,,
إزب,اسم,,,طويل
إزميل,اسم,أزاميل,,
إزميم,اسم,أزاميم,,
إساءة,اسم,,,إحسان;فرح
إسار,اسم,أسر,,
إست,اسم,أستاه,,
إستار,اسم,أساتير,,
إسكاف,اسم,أشاف,,
إسكاف,اسم,أساكفة,,
إسهال,اسم,,,تصعيب
إسوار,اسم,أسورة,,
إشرارة,اسم,أشارير,,
إصابة,اسم,,,خطأ
إصار,اسم,أصر,,
إصباح,اسم,,,إمساء
إصبع,اسم,أصابع,,
إصدة,اسم,إصد,,
إصلاح,اسم,,,تخريب;تدمير;إفساد
إصليت,اسم,أصاليت,,
إض,اسم,إضاض,,
إضبارة,اسم,أضابير,,
إضحاك,اسم,,,إبكاء
إضريج,اسم,أضاريج,,
إضمامة,اسم,أضاميم,,
إطار,اسم,أطر,,
إطاعة,اسم,,,تمرّد;عصيان
إطافة,اسم,,,
إطالة,اسم,,,قصر
إطناب,اسم,,,إختصار;إيجاز
إطنابة,اسم,أطانيب,,
إعانة,اسم,,,خذلان
إعصار,اسم,أعاصير,,
إعلان,اسم,,,كتمان
إعمال,اسم,,,إهمال
إعياء,اسم,,,راحة
إغاثة,اسم,,,تخلّي;إعراض
إغريض,اسم,أغاريض,,
إغليق,اسم,أغاليق,,
إفأدة,اسم,,,ضرر
إفرير,اسم,أفاريز,,
